ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Feedback,ReviewDateKey
301,32,No,Non-Travel,976,Sales,26,Master,Marketing,1,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0,No,18,3,1,80,0,4,2,3,3,2,2,2,Awesome perks Tons of fun  You get to work on projects that have either never been built before or never been built at this scale before,20210304
302,41,No,Travel_Rarely,1411,Research & Development,19,College,Life Sciences,1,3,Male,36,3,2,Research Scientist,1,Divorced,3072,19877,2,No,16,3,1,80,2,17,2,2,1,0,0,0,Freedom to pursue selfidentified projects supportive and competent coworkers and of course lots of free food,20210530
303,40,No,Travel_Rarely,1300,Research & Development,24,College,Technical Degree,1,1,Male,62,3,2,Research Scientist,4,Divorced,3319,24447,1,No,17,3,1,80,2,9,3,3,9,8,4,7,The people I work with are great From everyone that I talk to everyone says all the free food in the world cant replace the caliber of people one works with I totally agree Onsite massage therapist and all the food you can eat is great but the people I work with are smart forward thinking and thinking about what is best for the users and company,20210406
304,45,No,Travel_Rarely,252,Research & Development,1,Bachelor,Other,1,3,Male,70,4,5,Manager,4,Married,19202,15970,0,No,11,3,3,80,1,25,2,3,24,0,1,7,The network people community and the access to information,20210512
305,31,No,Travel_Frequently,1327,Research & Development,3,Master,Medical,1,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,9,No,12,3,1,80,1,9,3,3,2,2,2,2,smart people amazing perks strong brand that opens a lot of doors still lots of innovation,20210508
306,33,No,Travel_Rarely,832,Research & Development,5,Master,Life Sciences,1,3,Female,63,2,1,Research Scientist,4,Married,2911,14776,1,No,13,3,3,80,1,2,2,2,2,2,0,2,Technologically challenging projects excellent coworkers to work with,20210316
307,34,No,Travel_Rarely,470,Research & Development,2,Master,Life Sciences,1,4,Male,84,2,2,Manufacturing Director,1,Married,5957,23687,6,No,13,3,2,80,1,13,3,3,11,9,5,9,As other people mentioned before the perks are amazing food shuttle gym massages etc but the best at Google is the people There is no blame game around Everyone is working hard to help the company and the products to succeed,20210307
308,37,No,Travel_Rarely,1017,Research & Development,1,College,Medical,1,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,No,14,3,1,80,1,17,2,2,3,1,0,2,Excellent work environment great perks great people changing society and technology very innovative trusting workplace If you get bored with a project the company has a million other cool and exciting things you can work on instead,20210320
309,45,No,Travel_Frequently,1199,Research & Development,7,Master,Life Sciences,1,1,Male,77,4,2,Manufacturing Director,3,Married,6434,5118,4,No,17,3,4,80,1,9,1,3,3,2,0,2,Never boring Constantly changing Pay for performance,20210314
310,39,No,Travel_Frequently,505,Research & Development,2,Master,Technical Degree,1,3,Female,64,3,3,Healthcare Representative,3,Single,10938,6420,0,No,25,4,4,80,0,20,1,3,19,6,11,8,The ability to bring fresh ideas to the table Its a very creative environment and employees are given broad leeway to implement new things,20210505
311,29,No,Travel_Rarely,665,Research & Development,15,Bachelor,Life Sciences,1,3,Male,60,3,1,Research Scientist,4,Single,2340,22673,1,No,19,3,1,80,0,6,1,3,6,5,1,5,Tons of smart people Arguably the most interesting problems in computer science are being tackled on a daily basis  certainly at an unparalleled scale Different product areas have different cultures so its hard to generalize about the company as a whole but I dont think any other company offers as good a combination of interesting projects great benefits and compensation,20210521
